T	mompeak_num	mompeak_ana
0.45844	0.19247	0.94321
0.45948	0.19225	0.94427
0.46053	0.19203	0.94533
0.46157	0.19181	0.94638
0.46262	0.19159	0.94744
0.46366	0.19137	0.94849
0.46471	0.19115	0.94954
0.46575	0.19093	0.95059
0.46679	0.19072	0.95164
0.46784	0.1905	0.95268
0.46888	0.19029	0.95372
0.46993	0.19007	0.95477
0.47097	0.18986	0.9558
0.47202	0.18964	0.95684
0.47306	0.18943	0.95788
0.4741	0.18922	0.95891
0.47515	0.18901	0.95994
0.47619	0.1888	0.96098
0.47724	0.18859	0.962
0.47828	0.18838	0.96303
0.47933	0.18817	0.96406
0.48037	0.18797	0.96508
0.48141	0.18776	0.9661
0.48246	0.18755	0.96712
0.4835	0.18735	0.96814
0.48455	0.18714	0.96916
0.48559	0.18694	0.97017
0.48664	0.18674	0.97119
0.48768	0.18653	0.9722
0.48872	0.18633	0.97321
0.48977	0.18613	0.97422
0.49081	0.18593	0.97523
0.49186	0.18573	0.97623
0.4929	0.18553	0.97724
0.49395	0.18533	0.97824
0.49499	0.18513	0.97924
0.49603	0.18494	0.98024
0.49708	0.18474	0.98124
0.49812	0.18454	0.98224
0.49917	0.18435	0.98323
0.50021	0.18415	0.98422
0.50126	0.18396	0.98522
0.5023	0.18377	0.98621
0.50334	0.18357	0.98719
0.50439	0.18338	0.98818
0.50543	0.18319	0.98917
0.50648	0.183	0.99015
0.50752	0.18281	0.99113
0.50857	0.18262	0.99212
0.50961	0.18243	0.9931
0.51065	0.18224	0.99407
0.5117	0.18205	0.99505
0.51274	0.18186	0.99603
0.51379	0.18167	0.997
0.51483	0.18149	0.99797
0.51588	0.1813	0.99894
0.51692	0.18112	0.99991
0.51796	0.18093	1.0009
0.51901	0.18075	1.0018
0.52005	0.18056	1.0028
0.5211	0.18038	1.0038
0.52214	0.1802	1.0047
