gmix	NTG1	NTG3	NTG5	NTG7	NTG9	NTG11	model
0.54	1.14579	0.303679	0.172915	0.12072	0.0927124	0.0752545	0.0106281
0.55	1.14746	0.30431	0.173321	0.121024	0.0929576	0.075461	0.0114375
0.56	1.14918	0.30496	0.173739	0.121338	0.0932112	0.0756749	0.0122922
0.57	1.15093	0.305627	0.174171	0.121662	0.0934737	0.0758966	0.013194
0.58	1.15272	0.306313	0.174615	0.121998	0.0937453	0.0761263	0.0141444
0.59	1.15455	0.307018	0.175074	0.122344	0.0940264	0.0763643	0.0151453
0.6	1.15642	0.307742	0.175547	0.122702	0.0943174	0.0766111	0.0161984
0.61	1.15833	0.308486	0.176034	0.123071	0.0946186	0.0768671	0.0173055
0.62	1.16028	0.309251	0.176536	0.123454	0.0949305	0.0771325	0.0184684
0.63	1.16228	0.310037	0.177054	0.123849	0.0952536	0.0774078	0.0196889
0.64	1.16432	0.310844	0.177588	0.124257	0.0955882	0.0776934	0.0209689
0.65	1.1664	0.311673	0.178139	0.124679	0.0959349	0.0779899	0.0223103
0.66	1.16852	0.312525	0.178706	0.125116	0.0962942	0.0782978	0.023715
0.67	1.17069	0.3134	0.179292	0.125567	0.0966666	0.0786175	0.0251851
0.68	1.17291	0.314299	0.179896	0.126034	0.0970528	0.0789496	0.0267224
0.69	1.17517	0.315222	0.180519	0.126517	0.0974534	0.0792948	0.0283291
0.7	1.17747	0.316171	0.181162	0.127017	0.0978689	0.0796537	0.0300071
0.71	1.17983	0.317146	0.181825	0.127535	0.0983002	0.0800269	0.0317585
0.72	1.18223	0.318148	0.18251	0.128071	0.098748	0.0804153	0.0335856
0.73	1.18468	0.319177	0.183216	0.128626	0.099213	0.0808197	0.0354902
0.74	1.18718	0.320235	0.183946	0.129202	0.0997328	0.0812767	0.0374748
0.75	1.18973	0.321322	0.184699	0.129798	0.100202	0.0817201	0.0395414
0.76	1.19234	0.322439	0.185477	0.130459	0.100764	0.0821814	0.0416923
0.77	1.19499	0.323587	0.186281	0.131061	0.101313	0.0826626	0.0439297
0.78	1.19769	0.324767	0.187111	0.131773	0.101882	0.083165	0.046256
0.79	1.20045	0.325981	0.188023	0.132468	0.102476	0.0836898	0.0486734
0.8	1.20327	0.327228	0.188916	0.13319	0.103094	0.0842384	0.0511843
0.81	1.20614	0.328511	0.189838	0.133939	0.103739	0.0848122	0.053791
0.82	1.20906	0.32983	0.190793	0.134717	0.104411	0.0854128	0.0564961
0.83	1.21205	0.331187	0.19178	0.135527	0.105114	0.0860417	0.0593018
0.84	1.21509	0.332652	0.192802	0.136369	0.105847	0.0867009	0.0622107
0.85	1.21819	0.334094	0.193861	0.137245	0.106613	0.0873923	0.0652253
0.86	1.22135	0.335577	0.194957	0.138157	0.107414	0.088118	0.068348
0.87	1.22457	0.337104	0.196093	0.139108	0.108253	0.0888802	0.0715815
0.88	1.22786	0.338675	0.197271	0.140098	0.109131	0.0896815	0.0749282
0.89	1.2312	0.340293	0.198492	0.141131	0.11005	0.0905245	0.0783909
0.9	1.23462	0.341959	0.199758	0.142208	0.111014	0.0914122	0.0819722
0.91	1.23809	0.343675	0.201073	0.143333	0.112026	0.0923476	0.0856747
0.92	1.24164	0.345443	0.202437	0.144508	0.113088	0.0933344	0.0895011
0.93	1.24525	0.347264	0.203854	0.145736	0.114204	0.0944561	0.0934541
0.94	1.24894	0.349141	0.205326	0.147019	0.115377	0.095571	0.0975365
0.95	1.25269	0.351077	0.206855	0.148363	0.116701	0.0967459	0.101751
0.96	1.25652	0.353072	0.208446	0.149769	0.118016	0.0979899	0.106101
0.97	1.26042	0.35513	0.2101	0.151242	0.119397	0.0993086	0.110588
0.98	1.2644	0.357253	0.211822	0.152888	0.120855	0.100708	0.115216
0.99	1.26845	0.359443	0.213615	0.154522	0.122393	0.102194	0.119988
1	1.27258	0.361703	0.215482	0.156233	0.12402	0.103774	0.124906
1.01	1.27679	0.364036	0.217428	0.158031	0.12574	0.105454	0.129974
1.02	1.28108	0.366445	0.219456	0.15992	0.127561	0.107245	0.135194
1.03	1.28546	0.368933	0.221571	0.161907	0.129489	0.10927	0.14057
1.04	1.28992	0.371503	0.223914	0.163999	0.131534	0.111328	0.146104
1.05	1.29446	0.374158	0.226236	0.166202	0.133703	0.113518	0.1518
1.06	1.2991	0.376903	0.228656	0.168523	0.136139	0.115858	0.15766
1.07	1.30382	0.37974	0.231186	0.17097	0.138609	0.118359	0.163689
1.08	1.30881	0.382675	0.233831	0.173552	0.141226	0.121034	0.169888
1.09	1.31373	0.38571	0.236597	0.176277	0.144009	0.123897	0.176261
1.1	1.31856	0.38885	0.239493	0.179309	0.14697	0.12711	0.182812
1.11	1.32386	0.3921	0.242524	0.182374	0.150123	0.130419	0.189543
1.12	1.32908	0.395622	0.245699	0.185605	0.153479	0.13395	0.196458
1.13	1.33439	0.398959	0.249025	0.189023	0.157052	0.13773	0.203561
1.14	1.33981	0.402556	0.252512	0.192637	0.161033	0.141773	0.210853
1.15	1.34534	0.406489	0.256167	0.196462	0.165114	0.146096	0.21834
1.16	1.35098	0.410383	0.260179	0.200508	0.169448	0.150887	0.226023
1.17	1.35673	0.414413	0.264224	0.20479	0.174058	0.155843	0.233908
1.18	1.3626	0.418593	0.268462	0.209506	0.178962	0.161116	0.241996
1.19	1.36858	0.422928	0.272911	0.214326	0.184173	0.166729	0.250292
1.2	1.37468	0.427425	0.277582	0.219415	0.189896	0.172696	0.258798
1.21	1.3809	0.432091	0.282485	0.224795	0.195791	0.179029	0.267519
1.22	1.38725	0.436934	0.287634	0.230482	0.202027	0.185922	0.276458
1.23	1.39373	0.44196	0.293039	0.236489	0.208625	0.193037	0.285619
1.24	1.40034	0.447179	0.298714	0.242829	0.215598	0.200538	0.295005
1.25	1.40708	0.452598	0.304671	0.249516	0.222955	0.20844	0.304619
1.26	1.41396	0.458226	0.311143	0.256777	0.230708	0.21675	0.314466
1.27	1.42098	0.464072	0.317494	0.264216	0.238863	0.225472	0.324549
1.28	1.42814	0.470144	0.324613	0.272027	0.247635	0.234609	0.334871
1.29	1.43545	0.476453	0.331851	0.280232	0.256629	0.244163	0.345438
1.3	1.44291	0.483007	0.339425	0.288839	0.266034	0.254137	0.356251
1.31	1.45052	0.49009	0.347356	0.297856	0.275863	0.26453	0.367315
1.32	1.45829	0.49719	0.355657	0.30729	0.286118	0.275343	0.378635
1.33	1.46623	0.504559	0.364339	0.317148	0.2968	0.286574	0.390212
